obs_utc,fecha_local,hora_local,temp_c,dewp_c,viento_kt,rafaga_kt,visib,lluvia,polvo,crudo
2026-09-02T15:42:00Z,2026-09-02,09:42,28,13,0,,10+,0,0,METAR MMTC 021542Z 00000KT 10SM SKC 28/13 A3016
2026-09-02T16:41:00Z,2026-09-02,10:41,30,13,6,,10+,0,0,METAR MMTC 021641Z 13006KT 10SM SKC 30/13 A3016
2026-09-02T17:42:00Z,2026-09-02,11:42,30,12,0,,10+,0,0,METAR MMTC 021742Z 00000KT 10SM FEW030 30/12 A3014 RMK SLP110 57008 904 8/100
2026-09-02T18:42:00Z,2026-09-02,12:42,33,12,0,,10+,0,0,METAR MMTC 021842Z 00000KT 10SM FEW030 33/12 A3011 RMK 8/100
2026-09-02T19:42:00Z,2026-09-02,13:42,33,12,0,,10+,0,0,METAR MMTC 021942Z 00000KT 10SM FEW030 33/12 A3009 RMK 8/100
2026-09-02T20:42:00Z,2026-09-02,14:42,34,11,4,,10+,0,0,METAR MMTC 022042Z 05004KT 10SM FEW030TCU 34/11 A3005 RMK SLP075 57029 904 8/200
2026-09-02T21:49:00Z,2026-09-02,15:49,35,12,0,,10+,0,0,METAR MMTC 022149Z 00000KT 10SM FEW030TCU 35/12 A3001 RMK 8/200
2026-09-02T22:40:00Z,2026-09-02,16:40,35,11,11,,10+,0,0,METAR MMTC 022240Z 08011KT 10SM FEW030TCU 35/11 A2999 RMK 8/200
2026-09-02T23:41:00Z,2026-09-02,17:41,35,10,7,,10+,0,0,METAR MMTC 022341Z 05007KT 10SM FEW030TCU 35/10 A2998 RMK SLP054 57021 956 8/200
2026-09-03T00:43:00Z,2026-09-02,18:43,34,10,7,,10+,0,0,METAR MMTC 030043Z 08007KT 10SM FEW030TCU 34/10 A2998 RMK 8/200 SC
2026-09-03T01:40:00Z,2026-09-02,19:40,33,10,6,,10+,0,0,METAR MMTC 030140Z 07006KT 10SM SCT030 33/10 A2999 RMK 8/500 PCPN DSNT S
2026-09-03T02:40:00Z,2026-09-02,20:40,32,11,10,,8,0,0,METAR MMTC 030240Z 21010KT 8SM SCT030 32/11 A3002 RMK SLP063 52012 959 8/500
2026-09-03T03:40:00Z,2026-09-02,21:40,30,13,8,,8,0,0,METAR MMTC 030340Z 25008KT 8SM SCT030 BKN080 30/13 A3006 RMK 8/570
2026-09-03T10:40:00Z,2026-09-03,04:40,24,14,6,,7,0,0,METAR MMTC 031040Z 07006KT 7SM FEW100 24/14 A3008 RMK 8/070 RTS
2026-09-03T12:45:00Z,2026-09-03,06:45,22,14,6,,10+,0,0,METAR MMTC 031245Z 14006KT 10SM FEW100 22/14 A3011 RMK 8/070
2026-09-03T13:43:00Z,2026-09-03,07:43,25,15,0,,10+,0,0,METAR MMTC 031343Z 00000KT 10SM SCT100 25/15 A3013 RMK 8/070
2026-09-03T14:47:00Z,2026-09-03,08:47,28,15,6,,10+,0,0,METAR MMTC 031447Z 19006KT 10SM SCT100 28/15 A3013 RMK SLP098 52009 963 8/070
2026-09-03T15:44:00Z,2026-09-03,09:44,28,15,5,,10+,0,0,METAR MMTC 031544Z 14005KT 10SM SCT100 28/15 A3013 RMK 8/070
2026-09-03T16:45:00Z,2026-09-03,10:45,31,15,0,,10+,0,0,METAR MMTC 031645Z 00000KT 10SM FEW100 31/15 A3012 RMK 8/070 ISOL CU
2026-09-03T17:41:00Z,2026-09-03,11:41,31,14,5,,10+,0,0,METAR MMTC 031741Z 13005KT 10SM SKC 31/14 A3010 RMK SLP092 57009 964 ISOL CU
2026-09-03T18:41:00Z,2026-09-03,12:41,33,13,9,,10+,0,0,METAR MMTC 031841Z 16009KT 10SM FEW030 33/13 A3007 RMK 8/100
2026-09-03T19:42:00Z,2026-09-03,13:42,33,13,6,,10+,0,0,METAR MMTC 031942Z 30006KT 10SM FEW030TCU 33/13 A3003 RMK 8/200
2026-09-03T20:42:00Z,2026-09-03,14:42,34,12,6,,10+,0,0,METAR MMTC 032042Z 08006KT 10SM FEW030TCU 34/12 A2999 RMK SLP055 57031 966 8/200 CB NNE
2026-09-03T21:40:00Z,2026-09-03,15:40,35,11,5,,10+,0,0,METAR MMTC 032140Z 07005KT 10SM SCT030TCU 35/11 A2996 RMK 8/200 CB NNE
2026-09-03T22:40:00Z,2026-09-03,16:40,35,12,10,,10+,0,0,METAR MMTC 032240Z 02010KT 10SM SCT030TCU SCT220 35/12 A2994 RMK 8/202
2026-09-03T23:43:00Z,2026-09-03,17:43,35,11,7,,10+,0,0,METAR MMTC 032343Z 05007KT 10SM FEW030TCU SCT220 35/11 A2993 RMK SLP034 57020 965 8/202 CB E
2026-09-04T00:41:00Z,2026-09-03,18:41,34,12,8,,10+,0,0,METAR MMTC 040041Z 04008KT 10SM FEW030TCU SCT220 34/12 A2993 RMK 8/202
2026-09-04T01:44:00Z,2026-09-03,19:44,33,10,0,,8,0,0,METAR MMTC 040144Z 00000KT 8SM FEW030 33/10 A2995 RMK 8/500 ISOL CI
2026-09-04T02:41:00Z,2026-09-03,20:41,32,10,0,,8,0,0,METAR MMTC 040241Z 00000KT 8SM SKC 32/10 A2996 RMK SLP042 52010 967 ISOL SC
2026-09-04T03:41:00Z,2026-09-03,21:41,30,11,0,,8,0,0,METAR MMTC 040341Z 00000KT 8SM SKC 30/11 A2998
2026-09-04T10:43:00Z,2026-09-04,04:43,26,13,0,,7,0,0,METAR MMTC 041043Z 00000KT 7SM FEW100 26/13 A3003 RMK 8/070 RTS
2026-09-04T12:40:00Z,2026-09-04,06:40,26,14,6,,10+,0,0,METAR MMTC 041240Z 31006KT 10SM FEW100 26/14 A3008 RMK 8/070
2026-09-04T13:45:00Z,2026-09-04,07:45,27,14,0,,10+,0,0,METAR MMTC 041345Z 00000KT 10SM SCT100 27/14 A3010 RMK 8/070
2026-09-04T14:47:00Z,2026-09-04,08:47,28,14,10,,10+,0,0,METAR MMTC 041447Z 23010KT 10SM SCT100 28/14 A3010 RMK SLP089 52014 958 8/070
2026-09-04T15:43:00Z,2026-09-04,09:43,28,14,6,,10+,0,0,METAR MMTC 041543Z 29006KT 10SM SCT100 28/14 A3011 RMK 8/070
2026-09-04T16:41:00Z,2026-09-04,10:41,30,14,6,,10+,0,0,METAR MMTC 041641Z 32006KT 10SM BKN100 30/14 A3011 RMK 8/070
2026-09-04T17:42:00Z,2026-09-04,11:42,31,14,5,,10+,0,0,METAR MMTC 041742Z 02005KT 10SM SCT100 31/14 A3010 RMK SLP090 57001 900 8/070
2026-09-04T18:43:00Z,2026-09-04,12:43,32,14,0,,10+,0,0,METAR MMTC 041843Z 00000KT 10SM FEW030 SCT100 32/14 A3006 RMK 8/170
2026-09-04T19:42:00Z,2026-09-04,13:42,32,14,0,,10+,0,0,METAR MMTC 041942Z 00000KT 10SM SCT030 SCT100 32/14 A3003 RMK 8/170
2026-09-04T20:45:00Z,2026-09-04,14:45,34,13,4,,10+,0,0,METAR MMTC 042045Z 30004KT 10SM SCT035TCU SCT230 34/13 A2999 RMK SLP054 58031 900 8/202
2026-09-04T21:41:00Z,2026-09-04,15:41,35,13,6,,10+,0,0,METAR MMTC 042141Z 05006KT 10SM SCT035TCU SCT250 35/13 A2996 RMK 8/202
2026-09-04T22:47:00Z,2026-09-04,16:47,34,12,5,,10+,0,0,METAR MMTC 042247Z 06005KT 10SM SCT035TCU SCT100 BKN250 34/12 A2994 RMK 8/273 CB DSTN SW/W
2026-09-04T23:52:00Z,2026-09-04,17:52,34,11,4,,10+,0,0,METAR MMTC 042352Z 05004KT 10SM SCT035TCU SCT110 BKN250 34/11 A2994 RMK SLP033 57017 903 8/272 ISOL SC
2026-09-05T00:44:00Z,2026-09-04,18:44,34,12,5,,10+,0,0,METAR MMTC 050044Z 07005KT 10SM SCT035CB SCT110 BKN250 34/12 A2994 RMK 8/372
2026-09-05T01:43:00Z,2026-09-04,19:43,33,12,3,,8,0,0,METAR MMTC 050143Z 06003KT 8SM SCT035CB BKN110 BKN250 33/12 A2995 RMK 8/372
2026-09-05T02:47:00Z,2026-09-04,20:47,32,12,14,,7,0,1,METAR MMTC 050247Z 08014KT 7SM VCBLDU SCT030CB BKN110 32/12 A2997 RMK SLP046 50010 903 8/370
2026-09-05T03:40:00Z,2026-09-04,21:40,30,13,12,,8,0,0,METAR MMTC 050340Z 08012KT 8SM SCT110 30/13 A3000 RMK 8/070
2026-09-05T10:46:00Z,2026-09-05,04:46,25,13,5,,7,0,0,METAR MMTC 051046Z 26005KT 7SM FEW100 25/13 A3004 RMK 8/070 RTS
2026-09-05T12:47:00Z,2026-09-05,06:47,23,15,6,,10+,0,0,METAR MMTC 051247Z 32006KT 10SM FEW100 23/15 A3009 RMK 8/070
2026-09-05T13:44:00Z,2026-09-05,07:44,24,16,0,,10+,0,0,METAR MMTC 051344Z 00000KT 10SM FEW100 24/16 A3010 RMK 8/070
2026-09-05T14:40:00Z,2026-09-05,08:40,25,16,7,,10+,0,0,METAR MMTC 051440Z 34007KT 10SM FEW100 25/16 A3011 RMK SLP100 52014 904 8/070
2026-09-05T15:42:00Z,2026-09-05,09:42,27,15,0,,10+,0,0,METAR MMTC 051542Z 00000KT 10SM SKC 27/15 A3012 RMK ISOL CI
2026-09-05T16:40:00Z,2026-09-05,10:40,29,15,10,,10+,0,0,METAR MMTC 051640Z 35010KT 10SM SKC 29/15 A3013 RMK ISOL CI
2026-09-05T17:43:00Z,2026-09-05,11:43,30,15,6,,10+,0,0,METAR MMTC 051743Z 28006KT 10SM SCT030 30/15 A3011 RMK SLP099 57001 904 8/100
2026-09-05T18:42:00Z,2026-09-05,12:42,31,15,6,,10+,0,0,METAR MMTC 051842Z 27006KT 10SM SCT030 31/15 A3006 RMK 8/100
2026-09-05T19:44:00Z,2026-09-05,13:44,32,15,0,,10+,0,0,METAR MMTC 051944Z 00000KT 10SM SCT030 32/15 A3002 RMK 8/100
2026-09-05T20:43:00Z,2026-09-05,14:43,33,15,8,,10+,0,0,METAR MMTC 052043Z 35008KT 10SM SCT035TCU BKN250 33/15 A2999 RMK SLP053 58037 952 8/202
2026-09-05T21:44:00Z,2026-09-05,15:44,33,15,5,,10+,0,0,METAR MMTC 052144Z 06005KT 10SM SCT035TCU BKN100 BKN250 33/15 A2995 RMK 8/273 CB DSTN SW/W
2026-09-05T22:41:00Z,2026-09-05,16:41,33,14,11,,10+,0,0,METAR MMTC 052241Z 36011KT 10SM SCT035CB BKN110 BKN250 33/14 A2994 RMK 8/373
2026-09-05T23:50:00Z,2026-09-05,17:50,33,14,9,,10+,0,0,METAR MMTC 052350Z 03009KT 10SM SCT035CB BKN110 BKN250 33/14 A2994 RMK SLP043 58013 902 8/373
2026-09-06T00:43:00Z,2026-09-05,18:43,32,14,10,,10+,0,0,METAR MMTC 060043Z 03010KT 10SM SCT035CB BKN110 BKN250 32/14 A2997 RMK 8/373
2026-09-06T01:49:00Z,2026-09-05,19:49,30,14,10,,8,0,0,METAR MMTC 060149Z 07010KT 8SM SCT110 SCT250 30/14 A2997 RMK 8/072
2026-09-06T02:32:00Z,2026-09-05,20:32,29,19,22,,3,0,1,METAR MMTC 060232Z 11022KT 3SM BLDU BKN110 29/19 A3001 RMK 8/070
2026-09-06T02:42:00Z,2026-09-05,20:42,28,13,18,,3,0,1,METAR MMTC 060242Z 12018KT 3SM BLDU BKN110 28/13 A3002 RMK SLP074 50021 913 8/070
2026-09-06T10:40:00Z,2026-09-06,04:40,24,14,6,,8,0,0,METAR MMTC 061040Z 16006KT 8SM SCT030 BKN100 24/14 A3002 RMK 8/570 RTS
2026-09-06T12:41:00Z,2026-09-06,06:41,23,14,7,,10+,0,0,METAR MMTC 061241Z 12007KT 10SM BKN100 23/14 A3005 RMK 8/070 ISOL SC
2026-09-06T13:41:00Z,2026-09-06,07:41,24,14,5,,10+,0,0,METAR MMTC 061341Z 13005KT 10SM BKN100 24/14 A3007 RMK 8/070
2026-09-06T14:40:00Z,2026-09-06,08:40,25,14,5,,10+,0,0,METAR MMTC 061440Z 14005KT 10SM BKN100 25/14 A3008 RMK SLP098 52017 959 8/070
