emitido,ciudad,fecha_pronosticada,horizonte_dias,prob_lluvia_1mm,prob_lluvia_02mm,acum_p50,acum_p90,tmax_prev,tmin_prev,confianza_lluvia,confianza_temp,tmax_obs,tmin_obs,llovio_obs,fuente_obs
2026-09-05 08:54,Torreón,2026-09-05,0,72,86,2.1,5.7,34.5,22.9,BAJA,MEDIA,33.0,23.0,0,METAR MMTC
2026-09-05 08:54,Torreón,2026-09-06,1,53,83,1.1,7.1,32.7,21.6,BAJA,MEDIA,,,,
2026-09-05 08:54,Torreón,2026-09-07,2,62,86,1.8,6.0,33.5,21.4,BAJA,MEDIA,,,,
2026-09-05 08:54,Torreón,2026-09-08,3,60,83,1.4,6.1,33.5,22.0,BAJA,MEDIA,,,,
2026-09-05 08:54,Torreón,2026-09-09,4,58,80,1.4,5.8,32.3,21.1,MEDIA,MEDIA,,,,
2026-09-05 08:54,Torreón,2026-09-10,5,49,65,0.9,6.2,32.0,20.9,BAJA,BAJA,,,,
2026-09-05 08:54,Torreón,2026-09-11,6,41,60,0.5,5.0,30.3,20.4,BAJA,BAJA,,,,
2026-09-05 08:54,Gómez Palacio,2026-09-05,0,72,86,2.1,5.7,34.4,23.0,BAJA,MEDIA,33.0,23.0,0,METAR MMTC
2026-09-05 08:54,Gómez Palacio,2026-09-06,1,53,83,1.1,7.1,32.5,21.9,BAJA,MEDIA,,,,
2026-09-05 08:54,Gómez Palacio,2026-09-07,2,62,86,1.8,6.0,33.5,21.6,BAJA,MEDIA,,,,
2026-09-05 08:54,Gómez Palacio,2026-09-08,3,60,83,1.4,6.1,33.6,22.4,BAJA,MEDIA,,,,
2026-09-05 08:54,Gómez Palacio,2026-09-09,4,58,80,1.4,5.8,32.4,21.1,MEDIA,MEDIA,,,,
2026-09-05 08:54,Gómez Palacio,2026-09-10,5,49,65,0.9,6.2,32.0,21.1,BAJA,BAJA,,,,
2026-09-05 08:54,Gómez Palacio,2026-09-11,6,41,60,0.5,5.0,30.6,20.5,BAJA,BAJA,,,,
2026-09-05 08:54,Lerdo,2026-09-05,0,72,86,2.1,5.7,34.4,23.0,BAJA,MEDIA,33.0,23.0,0,METAR MMTC
2026-09-05 08:54,Lerdo,2026-09-06,1,53,83,1.1,7.1,32.5,21.9,BAJA,MEDIA,,,,
2026-09-05 08:54,Lerdo,2026-09-07,2,62,86,1.8,6.0,33.5,21.6,BAJA,MEDIA,,,,
2026-09-05 08:54,Lerdo,2026-09-08,3,60,83,1.4,6.1,33.6,22.4,BAJA,MEDIA,,,,
2026-09-05 08:54,Lerdo,2026-09-09,4,58,80,1.4,5.8,32.4,21.1,MEDIA,MEDIA,,,,
2026-09-05 08:54,Lerdo,2026-09-10,5,49,65,0.9,6.2,32.0,21.1,BAJA,BAJA,,,,
2026-09-05 08:54,Lerdo,2026-09-11,6,41,60,0.5,5.0,30.6,20.5,BAJA,BAJA,,,,
2026-09-06 09:14,Torreón,2026-09-06,0,50,83,1.0,4.2,33.1,21.8,ALTA,MEDIA,,,,
2026-09-06 09:14,Torreón,2026-09-07,1,55,82,1.1,4.1,32.6,21.9,ALTA,MEDIA,,,,
2026-09-06 09:14,Torreón,2026-09-08,2,46,82,0.8,3.9,34.0,22.2,ALTA,ALTA,,,,
2026-09-06 09:14,Torreón,2026-09-09,3,34,71,0.6,2.4,33.7,21.5,MEDIA,MEDIA,,,,
2026-09-06 09:14,Torreón,2026-09-10,4,26,53,0.2,3.0,33.8,21.8,MEDIA,BAJA,,,,
2026-09-06 09:14,Torreón,2026-09-11,5,25,41,0.0,2.4,33.8,22.1,MEDIA,BAJA,,,,
2026-09-06 09:14,Torreón,2026-09-12,6,24,47,0.1,2.7,35.0,21.4,MEDIA,MEDIA,,,,
2026-09-06 09:14,Gómez Palacio,2026-09-06,0,50,83,1.0,4.2,32.7,22.0,ALTA,MEDIA,,,,
2026-09-06 09:14,Gómez Palacio,2026-09-07,1,55,82,1.1,4.1,32.6,21.4,ALTA,MEDIA,,,,
2026-09-06 09:14,Gómez Palacio,2026-09-08,2,46,82,0.8,3.9,33.9,22.0,ALTA,ALTA,,,,
2026-09-06 09:14,Gómez Palacio,2026-09-09,3,34,71,0.6,2.4,33.7,21.5,MEDIA,MEDIA,,,,
2026-09-06 09:14,Gómez Palacio,2026-09-10,4,26,53,0.2,3.0,33.6,22.0,MEDIA,BAJA,,,,
2026-09-06 09:14,Gómez Palacio,2026-09-11,5,25,41,0.0,2.4,33.7,21.8,MEDIA,BAJA,,,,
2026-09-06 09:14,Gómez Palacio,2026-09-12,6,24,47,0.1,2.7,34.5,21.1,MEDIA,MEDIA,,,,
2026-09-06 09:14,Lerdo,2026-09-06,0,50,83,1.0,4.2,32.7,22.0,ALTA,MEDIA,,,,
2026-09-06 09:14,Lerdo,2026-09-07,1,55,82,1.1,4.1,32.6,21.8,ALTA,MEDIA,,,,
2026-09-06 09:14,Lerdo,2026-09-08,2,46,82,0.8,3.9,33.9,21.9,ALTA,ALTA,,,,
2026-09-06 09:14,Lerdo,2026-09-09,3,34,71,0.6,2.4,33.7,21.5,MEDIA,MEDIA,,,,
2026-09-06 09:14,Lerdo,2026-09-10,4,26,53,0.2,3.0,33.6,22.0,MEDIA,BAJA,,,,
2026-09-06 09:14,Lerdo,2026-09-11,5,25,41,0.0,2.4,33.7,21.8,MEDIA,BAJA,,,,
2026-09-06 09:14,Lerdo,2026-09-12,6,24,47,0.1,2.7,34.5,21.1,MEDIA,MEDIA,,,,
